,City,Country,Latitude,Longitude,Hotel Name
430,Karratha,AU,-20.7377,116.8463,Karratha International Hotel
431,Phuket,TH,8.0,98.25,Trisara
432,Waren,DE,53.5167,12.6833,Hotel Kleines Meer
433,High Prairie,CA,55.4334,-116.4858,Peavine Inn & Suites
434,Tarskoye,RU,42.967,44.7711,
435,Bom Jesus,BR,-9.0744,-44.3586,Hotel
436,Leh,IN,34.1667,77.5833,The Indus Valley
437,Acajutla,SV,13.5928,-89.8275,Villavela Hotel Boutique
438,Adrar,MR,20.5022,-10.0711,
439,Vestmannaeyjar,IS,63.4427,-20.2734,Hotel Vestmannaeyjar
440,Shar,KZ,49.5886,81.0453,
441,Ayagoz,KZ,47.9714,80.4392,Zhas-Nur
442,Kondoa,TZ,-4.9,35.7833,New Geneva In Africa Hotel
443,Saint-François,FR,46.4154,3.9054,Maison Vin d'Hus
444,Shahreza,IR,32.0339,51.8794,خانه مسافر اسپاد
445,Barabai,ID,-2.5833,115.3833,Madani Hotel
446,Los Llanos de Aridane,ES,28.6585,-17.9182,Hotel Hacienda de Abajo
447,Krasnoborsk,RU,61.5598,45.934,"Baza Otdykha ""Medvezhiy Ugol"""
448,Waipawa,NZ,-41.4122,175.5153,
449,Road Town,VG,18.4167,-64.6167,Sea View Hotel
450,Darhan,MN,49.4867,105.9228,Buudai Hotel
451,Maputo,MZ,-25.9653,32.5892,Polana Serena Hotel
452,Half Moon Bay,US,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
453,Banamba,ML,13.55,-7.45,
454,Djibouti,DJ,11.5,42.5,Campement touristique DANKALELO
455,Pauini,BR,-7.7136,-66.9764,Hotel Tatyane
456,Chinchani,IN,19.8667,72.7,Hotel Shivprabha
457,Kralendijk,BQ,12.15,-68.2667,Delfins Beach Resort Bonaire
458,Progreso,MX,21.2833,-89.6667,Playa Linda Hotel
459,Takoradze,GH,4.8845,-1.7554,Protea Hotel by Marriott Takoradi Select
460,Farafangana,MG,-22.8167,47.8333,Tsaravatsy Hotel
461,Ikwiriri,TZ,-7.9562,38.9716,Selous Lodge
462,Skjervøy,NO,70.0311,20.9714,Hotel Maritim Skjervøy AS
463,Hamilton,US,39.1834,-84.5333,
464,Saint-Augustin,CA,51.226000000000006,-58.6502,
465,Muriti,TZ,-1.9833,32.9167,
466,Birao,CF,10.2849,22.7882,
467,Riachão do Dantas,BR,-11.0689,-37.725,
468,Ajdabiya,LY,30.7554,20.2263,Ajdabiya Hotel
469,Batticaloa,LK,7.7102,81.6924,Lagoon Palace Hotel Batticaloa
470,Gannan,CN,47.9147,123.5031,甘南君悦精品酒店
471,Porto-Novo,BJ,6.4965,2.6036,Résidence OUADADA
472,Mount Gambier,AU,-37.8333,140.7667,The Old Mount Gambier Gaol
473,Ixtapa,MX,20.7,-105.2,Flamingo Vallarta Hotel & Marina
474,Khanbari,NP,27.3747,87.2039,Hotel Barun Sankhuwasabha
475,Tabou,CI,4.423,-7.3528,Hotel Les Rochers
476,Sept-Îles,CA,50.2001,-66.3821,Château Arnaud
477,Tiznit Province,MA,29.5833,-9.5,
478,Quatre Cocos,MU,-20.2078,57.7625,Paradisia Holiday Inn
479,Kendari,ID,-3.945,122.4989,Claro Hotel Kendari
480,Bozeman,US,45.6796,-111.0386,Holiday Inn Bozeman
481,Trivandrum,IN,8.4833,76.9167,Uday Suites - The Garden Hotel
482,Bemidji,US,47.4736,-94.8803,"Country Inn & Suites by Radisson, Bemidji, MN"
483,Chicama,PE,-7.8447,-79.1469,Balihai Bungalows
484,Sioux Lookout,CA,50.1001,-91.917,Sunset Inn & Suites
485,Dubbo,AU,-32.25,148.6167,ibis budget Dubbo
486,Gayny,RU,60.3071,54.3241,
487,Gubkinskiy,RU,64.434,76.5026,Hotel Medvezhonok
488,Eureka,US,40.8021,-124.1637,Best Western Plus Bayshore Inn
489,Meulaboh,ID,4.1363,96.1285,Hotel Meuligoe
490,Greater Sudbury,CA,46.49,-80.99,Holiday Inn Sudbury
491,Tulun,RU,54.5611,100.5792,Hotel Cozy
492,Williams Lake,CA,52.1415,-122.1445,Best Western Williams Lake Hotel
493,Chernyanka,RU,50.9409,37.8069,"Tsentral'naya, Gostinitsa"
494,Vagay,RU,57.9375,69.0217,
495,Tūkrah,LY,32.5341,20.5791,مطعم الحيطة
496,Mbandaka,CD,0.0487,18.2603,Hotel Wimpey
497,Khirkiya,IN,22.1674,76.8605,पानी पूरी सेंटर
498,Ségou,ML,13.4317,-6.2157,Hotel Independance
499,Birjand,IR,32.8663,59.2211,Moghaddam Hotel
500,Samfya,ZM,-11.3649,29.5565,Chita Lodge Samfya
501,Tapiramutá,BR,-11.8472,-40.7914,Hotel Visão
502,Neiafu,TO,-18.65,-173.9833,Mystic Sands
503,Soddy-Daisy,US,35.2359,-85.1908,
504,Touros,BR,-5.1989,-35.4608,Bugaendrus Paradise
505,Wajima,JP,37.4,136.9,Wajiima Onsen Yashio
506,Yaan,NG,7.3833,8.5667,
507,Villamontes,BO,-21.25,-63.5,Hotel El Rancho
508,Inuvik,CA,68.3499,-133.7218,Mackenzie Hotel
509,Umm Kaddadah,SD,13.6017,26.6876,
510,Maceió,BR,-9.6658,-35.7353,Maceió Mar Hotel
511,Kungurtug,RU,50.5994,97.5228,
512,Bangassou,CF,4.7413,22.8184,
513,Jaciara,BR,-15.9653,-54.9683,Hotel Real
514,Sambava,MG,-14.2667,50.1667,Carrefour
515,Aketi,CD,2.7388,23.7833,
516,Qeshm,IR,26.9581,56.2719,Irman BOUTIQUE HOTEL
517,Kuandian,CN,40.7286,124.7847,Wanhao Business Hotel
518,Minsk,BY,53.9,27.5667,Minsk Marriott Hotel
519,Ondangwa,,-17.9167,15.95,Protea Hotel by Marriott Ondangwa
520,Bonavista,CA,48.6499,-53.1147,Oceanside Cabins
521,Listvyanskiy,RU,54.4399,83.4984,
522,Abu Kamal,SY,34.4506,40.9171,
523,Dingle,PH,10.9995,122.6711,
524,Viedma,AR,-40.8135,-62.9967,Alta Patagonia Apart
525,Landeck,AT,47.1301,10.5636,Hotel Schrofenstein
526,Zaragoza,ES,41.6561,-0.8773,Hotel Palafox Zaragoza
527,Port Hardy,CA,50.6996,-127.4199,Glen Lyon Inn
528,Ciudad Bolivar,VE,8.1222,-63.5497,Hotel Laja Real
529,Angoche,MZ,-16.2325,39.9086,HESADA APARTMENTS
530,Sernovodsk,RU,43.3117,45.1594,"Resort ""Sernovodsk Caucasus"""
531,Reconquista,AR,-29.15,-59.65,Grand Hotel
532,Jevnaker,NO,60.2414,10.385,Thorbjørnrud Hotel
533,Poum,NC,-20.2333,164.0167,
534,Moerai,PF,-22.4333,-151.3333,Le Manotel
535,Picos,BR,-7.0769,-41.4669,Hotel Bentivi
536,Yangi Marg`ilon,UZ,40.4272,71.7189,Minimalist
537,‘Āhuimanu,US,21.4447,-157.8378,
538,Eyl,SO,7.9803,49.8164,Amiin Hotel
539,Praia da Vitória,PT,38.7333,-27.0667,Atlântida Mar Hotel
540,Les Cayes,HT,18.2,-73.75,Auber Cayes Guesthouse
541,Gimli,CA,50.6336,-96.9907,Lakeview Gimli Resort
542,Alexandria,EG,31.2156,29.9553,"Four Seasons Hotel Alexandria at San Stefano, Egypt"
543,Goma,CD,-1.6792,29.2228,Lake Kivu Serena Hotel
544,Inhambane,MZ,-23.865,35.3833,Sentidos Beach Retreat
545,Yazman,PK,29.1212,71.7446,Royal Nawab Marriage Hall
546,Kasane,BW,-17.8167,25.15,Chobe Water Villas
547,Williston,US,48.147,-103.618,Best Western Plus Williston Hotel & Suites
548,Novo Aripuanã,BR,-5.1206,-60.3797,Hotel Gonçalves
549,Gagino,RU,55.2314,45.0339,"Гагино, Гостиница"
550,Ulkan,RU,57.243,107.3223,
551,Nyzhni Sirohozy,UA,46.8484,34.3804,Hotelʹ Stepova
552,Codrington,AU,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
553,Ninghai,CN,29.2892,121.4247,World Trade Center Hotel Ninghai
554,Oranjemund,,-28.55,16.4333,
555,Weiser,US,44.251000000000005,-116.9693,State Street Motel
556,Sharan,RU,54.8167,54.0,
557,The Pas,CA,53.8251,-101.2541,Wescana Inn
558,Mount Isa,AU,-20.7333,139.5,Abacus Motel
559,Tual,ID,-5.6667,132.75,Grand Vilia Hotel
560,Nālūt,LY,30.3333,10.85,
561,Namatanai,PG,-3.6667,152.4333,Namatanai Hotel
562,Vila Franca do Campo,PT,37.7167,-25.4333,A Villa by the Sea
563,Port Hawkesbury,CA,45.6169,-61.3485,Maritime Inn Port Hawkesbury
564,Marathon,US,44.9,-89.7668,
565,High Level,CA,58.5169,-117.13600000000001,Best Western Plus Mirage Hotel & Resort
566,Blagoyevo,RU,63.3667,47.9167,
567,Abu Dhabi,AE,24.4667,54.3667,Emirates Palace
568,Devarkonda,IN,16.7,78.9333,Vishnu Priya Lodge
569,Kamina,CD,-8.7386,24.9906,
570,Salym,RU,60.0625,71.4789,Gostinitsa V Salyme
571,Kristinestad,FI,62.2743,21.375999999999998,Hotelli Krepelin
572,Coleraine,GB,55.1333,-6.6667,Bushtown Hotel
573,Vilhena,BR,-12.7406,-60.1458,Hotel Mirage
574,Buncrana,IE,55.1333,-7.45,Inishowen Gateway Hotel
575,Siderno,IT,38.2779,16.302,Grand Hotel President
576,Bathsheba,BB,13.2167,-59.5167,Rest Haven Beach Cottages
577,Burgeo,CA,47.6167,-57.6152,Gillett's Motel
578,Kikwit,CD,-5.041,18.8162,Grand Hotel De Kikwit
579,Beloha,MG,-25.1667,45.05,
580,Shunyi,CN,40.125,116.6453,Capital Airport International Hotel
581,Jingdezhen,CN,29.2947,117.2079,Bandao International Hotel
