,City,Country,Latitude,Longitude,Hotel Name
321,Jianhu,CN,29.9799,120.5712,Crowne Plaza Shaoxing
322,Alekseyevka,RU,50.6309,38.6903,Postoyaliy dvor
323,Mizque,BO,-17.941,-65.3402,Hotel Mizque
324,Boa Vista,BR,2.8197,-60.6733,Aipana Plaza Hotel
325,Aklavik,CA,68.2191,-135.0107,Sundog Inn
326,Kitimat,CA,54.0524,-128.6534,MStar Hotel Kitimat
327,Te Anau,NZ,-45.4167,167.7167,Lakefront Lodge
328,Tsimmerbude,RU,54.675,20.1347,Slavyanskiy Dvor
329,Birakan,RU,49.0167,131.7,
330,Sørland,NO,67.667,12.6934,Lofoten Værøy Brygge
331,Visnes,NO,59.3556,5.2242,Radisson Blu Hotel Haugesund
332,Victor Harbor,AU,-35.5667,138.6167,Bluff Resort Apartments
333,Kawardha,IN,22.0167,81.25,Hotel Royal Celebration
334,Paamiut,GL,61.994,-49.6678,Yeet Hotel
335,Kenai,US,60.5544,-151.2583,Aspen Extended Stay Suites
336,Kahului,US,20.8947,-156.47,Maui Beach Hotel
337,Cabo San Lucas,MX,22.8909,-109.9124,Welk Resorts Cabo San Lucas
338,Wankyi,GH,7.7392,-2.1046,Viglosam Lodge
339,Tautira,PF,-17.7333,-149.15,
340,Buin,CL,-33.7333,-70.75,
341,Khovd,MN,48.0056,91.6419,Minj Hotel
342,Charleville-Mézières,FR,49.7667,4.7167,CHAMBRE D'HOTE Coté chambres
343,NEDJO,ET,9.5046,35.5019,Yerosan Hotel
344,Ordzhonīkīdze,KZ,52.4411,61.7408,
345,Amapá,BR,1.0,-52.0,
346,Teya,RU,60.3778,92.6267,
347,Thompson,CA,55.7435,-97.8558,Best Western Thompson Hotel & Suites
348,Alegrete,BR,-29.7831,-55.7919,Hotel Caverá
349,Howard,US,39.2504,-76.933,The Columbia Inn at Peralynna
350,Vostok,RU,46.4856,135.8833,
351,Talnakh,RU,69.4865,88.3972,Talnakh Hotel
352,Los Negros,BO,-17.7333,-63.4333,
353,Gmina Lwówek Śląski,PL,51.1107,15.5858,Black Tower Apartments
354,Hirara,JP,24.8,125.2833,HOTEL LOCUS
355,Mutoko,ZW,-17.397000000000002,32.2268,Mutoko Hotel
356,Leshukonskoye,RU,64.8989,45.7622,Gostinitsa Mup Zhkkh
357,Taoudenni,ML,22.6783,-3.9836,
358,Bowen,AU,-20.0167,148.2333,Whitsunday Sands Resort
359,Loandjili,CG,-4.7561,11.8578,Atlantic Palace Hotel
360,Solomenskoye,RU,44.2167,44.3528,
361,Santa Elena,EC,-2.2333,-80.85,Hosteria Farallon Dillon
362,Honiara,SB,-9.4333,159.95,Coral Sea Resort & Casino
363,Baykit,RU,61.67,96.37,
364,Donskoye,RU,45.4552,41.9741,
365,Padang,ID,-0.9492,100.3543,Mercure Padang
366,Changping,CN,40.2186,116.2197,JI Hotel Beijing Changping Longshui Road
367,Koslan,RU,63.4564,48.8989,
368,Tasiilaq,GL,65.6145,-37.6368,Hotel Angmagssalik
369,Carman,CA,49.4992,-98.0016,Oxbow Inn
370,Mukhen,RU,48.1,136.1,
371,Tonj,SS,7.2737,28.6822,
372,Mandi Bahauddin,PK,32.5834,73.4843,City top hotel
373,Doha,QA,25.2867,51.5333,Warwick Doha Hotel
374,Pemangkat,ID,1.1667,108.9667,Grand Hotel
375,Araouane,ML,18.9048,-3.5265,
376,Laguna,US,38.421,-121.4238,Hilton Garden Inn Sacramento Elk Grove
377,Aberystwyth,GB,52.4155,-4.0829,Queensbridge Hotel
378,Belyy Yar,RU,53.6039,91.3903,
379,Klaksvík,FO,62.2266,-6.5889999999999995,Hotel Klaksvík
380,Awjilah,LY,29.1081,21.2869,
381,Ust'-Ilimsk,RU,58.0006,102.6619,"Gostinitsa ""Ust'-Ilim"""
382,Great Yarmouth,GB,52.6083,1.7305,Old Hall Hotel
383,Alugan,PH,12.2188,125.4808,Bahay ni Singkit
384,San Ignacio,BZ,17.1561,-89.0714,San Ignacio Resort Hotel
385,Kasongo-Lunda,CD,-6.4667,16.8167,
386,Grants,US,35.1473,-107.8514,Holiday Inn Express & Suites Grants - Milan
387,Juneau,US,58.3019,-134.4197,Alaskan Hotel
388,Chiradzulu,MW,-15.6746,35.1407,
389,Taitung City,TW,22.7583,121.1444,Sheraton Taitung Hotel
390,Sobolevo,RU,54.4299,31.8996,
391,Maués,BR,-3.3836,-57.7186,Hotel Miramar
392,Kuusamo,FI,65.9667,29.1833,Holiday Club Kuusamo
393,Kidal,ML,18.4411,1.4078,
394,Verkhnyaya Inta,RU,65.9811,60.3094,
395,Huimanguillo,MX,17.85,-93.3833,Hotel Guayacan
396,Ostrovnoy,RU,68.0531,39.5131,
397,La Ronge,CA,55.1001,-105.2842,The Harbour Inn
398,Māngrol,IN,21.1167,70.1167,Kaveri Hotel
399,Talaya,RU,61.3833,152.75,
400,Genhe,CN,50.7833,121.5167,Genhe Hotel
401,Agios Vasileios,GR,37.8,22.8,
402,Samaro,PK,25.2815,69.3965,
403,Port-Gentil,GA,-0.7193,8.7815,Residence Ophelia Lodge
404,Harpenden,GB,51.8168,-0.3571,"Luton Hoo Hotel, Golf & Spa"
405,São Filipe,CV,14.8961,-24.4956,Hotel Xaguate
406,Namtsy,RU,62.7161,129.6658,
407,Bristol,US,41.8334,-71.1662,
408,Muros,ES,42.7762,-9.0603,Hotel La Muradana
409,Nanortalik,GL,60.1432,-45.2371,Hotel Kap Farvel
410,Maţāy,EG,28.419,30.7792,
411,Lachi,PK,33.3833,71.3386,Majaan Hotel Karapa
412,Gravdal,NO,68.1214,13.5031,Scandic Leknes Lofoten Hotel
413,Varberg,SE,57.1056,12.2508,Strandgården
414,Biltine,TD,14.5333,20.9167,
415,Tigil',RU,57.8,158.6667,
416,Gray,US,35.4167,-100.802,
417,Samaná,DO,19.2056,-69.3369,Figaro Hotel Boutique Samana
418,Balkhash,KZ,46.843999999999994,74.9804,Guest House Comfort-House-Balkhash
419,Russell,US,32.3502,-85.1999,
420,Woodward,US,36.4337,-99.3904,Holiday Inn Express & Suites Woodward Hwy 270
421,Umluj,SA,25.0213,37.2685,عروس الشاطئ للوحدات السكنية المفروشة
422,Myitkyina,MM,25.3833,97.4,Hotel Madira
423,Rio Grande,BR,-32.035,-52.0986,Hotel Atlântico Rio Grande
424,Port Lincoln,AU,-34.7333,135.8667,Port Lincoln Hotel
425,Nome,US,64.5011,-165.4064,Nome Nugget Inn
426,Kuala Terengganu,MY,5.3302,103.1408,Duyong Marina & Resort
427,Kuytun,RU,54.3419,101.5036,Zhemchug
428,Jutaí,BR,-5.1833,-68.9,
429,Kimbe,PG,-5.5502,150.1429,Liamo Reef Resort - Kimbe International Hotel
